Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Colson,Choice Total,,,,12,24,,5,27,68
"",Magnet,DUNBAR ELEMENTARY,Elem,,3,,,,,3
"",,LINCOLN ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,RAMPELLO K-8,K-8,,1,,,,,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,4,,,2,3,9
"",,ROLAND PARK K-8 MAGNET,K-8,,1,,,,1,2
"",,SHORE ELEMENTARY,Elem,,1,,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,,,,1,,1
"",Magnet Total,,,,11,1,,3,4,19
"",Neighborhood,BAILEY ELEMENTARY,Elem,,,1,,,,1
"",,BROOKER ELEMENTARY,Elem,,,1,,,,1
"",,CANNELLA ELEMENTARY,Elem,,,,,,1,1
"",,COLSON ELEMENTARY,Elem,7,75,182,1,36,122,423
"",,LAMB ELEMENTARY,Elem,,,,,,1,1
"",,LIMONA ELEMENTARY,Elem,,1,,,,,1
"",,LINCOLN ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOPEZ ELEMENTARY,Elem,,,4,,,,4
"",,MANGO ELEMENTARY,Elem,,2,1,,1,,4
"",,MCDONALD ELEMENTARY,Elem,,,1,,,1,2
"",,PIZZO K-8 SCHOOL,K-8,,,,,1,,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,,,1,,1
"",,SEFFNER ELEMENTARY,Elem,,1,,,1,4,6
"",,THONOTOSASSA ELEMENTARY,Elem,,1,,,,,1
"",,WOODSON K-8,K-8,,1,,,,,1
"","Neighborhood
Total",,,7,82,190,1,40,129,449
"Colson Total
8118240152177596",,,,,,,,,,
Cork,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,,,5,,1,5,11
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,1,,,,,1
"",,INDEPENDENCE ACADEMY,K-8,1,1,9,,,33,44
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Cork,Charter Total,,,1,2,16,,1,38,58
"",Choice,BAILEY ELEMENTARY,Elem,,,1,,,4,5
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,BUCKHORN ELEMENTARY,Elem,,,,,,1,1
"",,BURNEY ELEMENTARY,Elem,,,2,,,,2
"",,COLSON ELEMENTARY,Elem,,,1,,,,1
"",,CORK ELEMENTARY,Elem,,,5,,,4,9
"",,KNIGHTS ELEMENTARY,Elem,,,7,,1,11,19
"",,VALRICO ELEMENTARY,Elem,,,1,,,,1
"",,WALDEN LAKE ELEMENTARY,Elem,,,1,,,8,9
"",,WILSON ELEMENTARY,Elem,,,,,,1,1
"",Choice Total,,,,,18,,1,30,49
"",ESE Placed,KNIGHTS ELEMENTARY,Elem,,,,,,1,1
"","ESE Placed
Total",,,,,,,,1,1
"",Magnet,LINCOLN ELEMENTARY MAGNET,Elem,,1,2,,,9,12
"",,LOMAX ELEMENTARY MAGNET,Elem,,,2,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,1,,,,1
"",Magnet Total,,,,1,5,,,9,15
"",Neighborhood,BAILEY ELEMENTARY,Elem,,,1,,,2,3
"",,BURNEY ELEMENTARY,Elem,,,1,,,1,2
"",,CORK ELEMENTARY,Elem,6,4,294,,18,179,501
"",,DOVER ELEMENTARY,Elem,,,2,,,,2
"",,KNIGHTS ELEMENTARY,Elem,,,5,,,2,7
"",,LINCOLN ELEMENTARY MAGNET,Elem,,,2,,,1,3
"",,PINECREST ELEMENTARY,Elem,,,,,,1,1
"",,ROBINSON ELEMENTARY,Elem,,,1,,,,1
"",,THONOTOSASSA ELEMENTARY,Elem,,,,,,1,1
"",,WALDEN LAKE ELEMENTARY,Elem,,,1,,,,1
"",,WILSON ELEMENTARY,Elem,,,2,,,1,3
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"Cork Total
7734820266648",,,,,,,,,,
Corr,Charter,BIG BEND ACADEMY MATH & SCIENCE,Elem,,1,2,,,,3
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,7,7,,4,2,20
"",,CREEKSIDE CHARTER ACADEMY,K-8,,3,5,,1,2,11
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,2,,,,2
"",,INDEPENDENCE ACADEMY,K-8,,,1,,,,1
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,1,2,6,,,3,12
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,2,,1,1,5
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,1,3,,1,1,6
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,2,,,,2
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,3,46,59,,12,30,150
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,6,8,,,4,18
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,,,,2,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,8,16,,3,1,28
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,,1,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,6,4,,1,3,14
"",,WATERSET CHARTER SCHOOL,K-8,4,16,13,,5,17,55
"",,WINTHROP CHARTER SCHOOL,K-8,,4,3,,2,2,11
"",Charter Total,,,8,101,133,,31,68,341
"",Choice,APOLLO BEACH ELEMENTARY,Elem,,2,10,,2,5,19
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,2,3,,,2,7
"",,BROOKER ELEMENTARY,Elem,,1,,,,,1
"",,CHIARAMONTE ELEMENTARY,Elem,,,,,,1,1
"",,COLLINS PK-8 SCHOOL,K-8,,7,,,,1,8
"",,DAWSON ELEMENTARY,Elem,,,1,,,,1
"",,DOBY ELEMENTARY,Elem,,2,1,,,4,7
"",,FROST ELEMENTARY,Elem,,2,,,,,2
"",,GIBSONTON ELEMENTARY,Elem,,1,1,,1,2,5
"",,IPPOLITO ELEMENTARY,Elem,,1,,,,,1
"",,LOPEZ ELEMENTARY,Elem,,,1,,,,1
"",,MINTZ ELEMENTARY,Elem,,,2,,1,2,5
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Corr,Choice,SESSUMS ELEMENTARY,Elem,,,,,2,3,5
"",,SUMMERFIELD CROSSINGS ELEM,Elem,,,,,,1,1
"",,SUMMERFIELD ELEMENTARY,Elem,,,,,1,,1
"",,WITTER ELEMENTARY,Elem,,,1,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,1,,,,,1
"",Choice Total,,,,25,23,,7,21,76
"",ESE Placed,RIVERVIEW ELEMENTARY,Elem,,,1,,,,1
"","ESE Placed
Total",,,,,1,,,,1
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,2,,,,,2
"",,MACFARLANE PARK ELEM MAGNET,Elem,,3,,,1,,4
"",,RAMPELLO K-8,K-8,,5,3,,1,,9
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,1,,,,,1,2
"",,SHORE ELEMENTARY,Elem,,5,1,,,1,7
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,1,8,9,,2,4,24
"",Magnet Total,,,2,26,13,,4,6,51
"",Neighborhood,APOLLO BEACH ELEMENTARY,Elem,,,1,,1,,2
"",,BEVIS ELEMENTARY,Elem,,,,,,1,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,2,2
"",,CORR ELEMENTARY,Elem,13,163,265,1,41,89,572
"",,FOSTER ELEMENTARY,Elem,,1,,,,,1
"",,GIBSONTON ELEMENTARY,Elem,,2,2,,,2,6
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,,,,1,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,PALM RIVER ELEMENTARY,Elem,,,,,,1,1
"",,POTTER ELEMENTARY,Elem,,1,,,,,1
"",,REDDICK ELEMENTARY,Elem,,,1,,,,1
"",,SESSUMS ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
"",Neighborhood,,,,,,,,,
Corr,Total,,,13,168,270,1,42,97,591
Corr Total,,,,23,320,440,1,84,192,"1,060"
Crestwood,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,1,,,1,2
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,2,,,,2
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,1,,,,2
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,1,,1,,2
"",,EXCELSIOR PREP CHARTER SCHOOL,Elem,,1,,,,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,3,2,74,,3,2,84
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,1,1,25,,2,1,30
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,8,,1,1,10
"",,LEARNING GATE COMMUNITY,K-8,,,2,,2,,4
"",,NEW SPRINGS SCHOOL,K-8,,,1,,,,1
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,2,,4,,,2,8
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,1,12,,,2,15
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,2,1,,,,3
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,,,2,,,,2
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,25,,,5,30
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,6,,1,1,8
"",,WALTON ACADEMY,Elem,,,1,,,,1
"",,WOODMONT CHARTER SCHOOL,K-8,,,1,,,,1
"",Charter Total,,,6,8,167,,10,15,206
"",Choice,ALEXANDER ELEMENTARY,Elem,,1,8,,1,,10
"",,BAY CREST ELEMENTARY,Elem,,,1,,,,1
"",,BELLAMY ELEMENTARY,Elem,,,10,,,1,11
"",,BRYANT ELEMENTARY,Elem,,1,,,,,1
"",,CANNELLA ELEMENTARY,Elem,,2,12,,,5,19
"",,CARROLLWOOD K-8 SCHOOL,K-8,,3,4,,2,2,11
"",,CHILES ELEMENTARY,Elem,,1,,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,1,,,,1
"",,CLARK ELEMENTARY,Elem,,,,,1,,1
"",,CLAYWELL ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Crestwood,Choice,CRESTWOOD ELEMENTARY,Elem,,,7,,1,,8
"",,DAVIS ELEMENTARY,Elem,,2,,,,,2
"",,DEER PARK ELEMENTARY,Elem,,,2,,,1,3
"",,DICKENSON ELEMENTARY,Elem,,,1,,,,1
"",,EGYPT LAKE ELEMENTARY,Elem,2,2,12,,1,1,18
"",,ESSRIG ELEMENTARY,Elem,,,,,,2,2
"",,FOREST HILLS ELEMENTARY,Elem,,1,3,,,,4
"",,GRADY ELEMENTARY,Elem,,,1,,,,1
"",,GRAHAM ELEMENTARY,Elem,,1,,,,,1
"",,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,1,,3,,,3,7
"",,LOWRY ELEMENTARY,Elem,,,1,,,,1
"",,LUTZ K-8 SCHOOL,K-8,,,,,,1,1
"",,MANISCALCO K-8 SCHOOL,K-8,,,1,,,,1
"",,MCKITRICK ELEMENTARY,Elem,,,1,,,,1
"",,MENDENHALL ELEMENTARY,Elem,,,4,,,1,5
"",,MORGAN WOODS ELEMENTARY,Elem,,,6,,,1,7
"",,NORTHWEST ELEMENTARY,Elem,,,,,,3,3
"",,OAK GROVE ELEMENTARY,Elem,,2,8,,,2,12
"",,SCHWARZKOPF ELEMENTARY,Elem,,,,,1,,1
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,1,,,,,1
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,,3,,,,3
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,4,,,2,6
"",,TWIN LAKES ELEMENTARY,Elem,,,11,,,1,12
"",,WESTCHASE ELEMENTARY,Elem,,,,,,1,1
"",,WOODBRIDGE ELEMENTARY,Elem,,2,8,,,,10
"",Choice Total,,,3,19,114,,7,27,170
"",Magnet,CRESTWOOD ELEMENTARY,Elem,,,,,,1,1
"",,DUNBAR ELEMENTARY,Elem,1,1,,,,2,4
"",,ESSRIG ELEMENTARY,Elem,1,,,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,2,,,,,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Crestwood,Magnet,MULLER ELEMENTARY MAGNET,Elem,,,,,,1,1
"",,RAMPELLO K-8,K-8,,,5,,3,,8
"",,ROLAND PARK K-8 MAGNET,K-8,,,3,,1,2,6
"",,SHORE ELEMENTARY,Elem,,1,,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",Magnet Total,,,4,6,9,,6,9,34
"",Neighborhood,ALEXANDER ELEMENTARY,Elem,1,1,10,,1,1,14
"",,BELLAMY ELEMENTARY,Elem,,,4,,,,4
"",,CANNELLA ELEMENTARY,Elem,1,1,4,,1,,7
"",,CHILES ELEMENTARY,Elem,,,,,,1,1
"",,CRESTWOOD ELEMENTARY,Elem,16,67,570,,21,27,701
"",,EGYPT LAKE ELEMENTARY,Elem,,2,7,,,,9
"",,ESSRIG ELEMENTARY,Elem,1,,,,,,1
"",,FOLSOM ELEMENTARY,Elem,,1,,,,,1
"",,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,JAMES ELEMENTARY,Elem,,,1,,,,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,2,,,,2
"",,LIMONA ELEMENTARY,Elem,,1,,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,,,,1,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,,1
"",,MANISCALCO K-8 SCHOOL,K-8,,,1,,,,1
"",,MORT ELEMENTARY,Elem,,,1,,,,1
"",,OAK GROVE ELEMENTARY,Elem,,,2,,,1,3
"",,SHORE ELEMENTARY,Elem,,1,,,,,1
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,,2,,,,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,,,,1,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,1,11,,,,12
"",,TWIN LAKES ELEMENTARY,Elem,,,2,,,,2
"",,WEST TAMPA ELEMENTARY,Elem,1,,,,,,1
"",,WOODBRIDGE ELEMENTARY,Elem,,1,2,,,1,4
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
"",Neighborhood,,,,,,,,,
Crestwood,Total,,,20,77,621,,25,31,774
Crestwood Total,,,,33,110,911,,48,82,"1,184"
Cypress Creek,Charter,BIG BEND ACADEMY MATH & SCIENCE,Elem,,,1,,,,1
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,13,1,,,1,15
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,,,,2,2
"",,CREEKSIDE CHARTER ACADEMY,K-8,1,43,16,,6,8,74
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,,4,,,,1,5
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,,,1,1,3
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,1,49,62,,19,49,180
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,1,,,,1
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,13,,,,13
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,10,2,,,6,18
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,42,71,,26,62,201
"",,SOUTHSHORE CHARTER ACADEMY,K-8,1,14,21,,7,10,53
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,2,1,,,,3
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,3,1,,,2,6
"",,WATERSET CHARTER SCHOOL,K-8,1,29,40,,9,35,114
"",,WINTHROP CHARTER SCHOOL,K-8,,1,2,,2,1,6
"",,WOODMONT CHARTER SCHOOL,K-8,,1,,,,,1
"",Charter Total,,,4,212,232,,70,178,696
"",Choice,APOLLO BEACH ELEMENTARY,Elem,,7,4,,2,9,22
"",,BALLAST POINT ELEMENTARY,Elem,,,,,,1,1
"",,BELMONT ELEMENTARY SCHOOL,Elem,,3,,,,,3
"",,BEVIS ELEMENTARY,Elem,,1,1,,,1,3
"",,BING ELEMENTARY,Elem,,1,,,1,,2
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,2,2,,,1,5
"",,CIMINO ELEMENTARY,Elem,,,1,,,,1
"",,COLLINS PK-8 SCHOOL,K-8,,,1,,1,2,4
"",,COLSON ELEMENTARY,Elem,,3,,,,,3
"",,CORR ELEMENTARY,Elem,1,,,,,,1
"",,CYPRESS CREEK ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Cypress Creek,Choice,DAWSON ELEMENTARY,Elem,,1,1,,2,,4
"",,DEER PARK ELEMENTARY,Elem,,1,,,,,1
"",,DOBY ELEMENTARY,Elem,,8,2,,,1,11
"",,FOLSOM ELEMENTARY,Elem,,1,,,,,1
"",,FROST ELEMENTARY,Elem,,1,,,,,1
"",,GIBSONTON ELEMENTARY,Elem,,,,,,2,2
"",,LOPEZ ELEMENTARY,Elem,,1,,,,,1
"",,MINTZ ELEMENTARY,Elem,,,2,,,,2
"",,REDDICK ELEMENTARY,Elem,,,3,,,4,7
"",,RIVERVIEW ELEMENTARY,Elem,,2,,,,2,4
"",,RUSKIN ELEMENTARY,Elem,,1,,,,1,2
"",,SCHMIDT ELEMENTARY,Elem,,,1,,,,1
"",,SESSUMS ELEMENTARY,Elem,,,,,,2,2
"",,SPRINGHEAD ELEMENTARY,Elem,,,,,,1,1
"",,SUMMERFIELD ELEMENTARY,Elem,,,4,,,2,6
"",,TEMPLE TERRACE ELEMENTARY,Elem,,2,,,,,2
"",,THOMPSON ELEMENTARY,Elem,,8,7,,3,5,23
"",Choice Total,,,1,43,30,,9,34,117
"",ESE Placed,GIBSONTON ELEMENTARY,Elem,,,,,,1,1
"",,ROOSEVELT ELEMENTARY,Elem,1,,,,,,1
"","ESE Placed
Total",,,1,,,,,1,2
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,,,,,1
"",,MULLER ELEMENTARY MAGNET,Elem,,1,,,1,,2
"",,RAMPELLO K-8,K-8,,,2,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,,,2,,2
"",,ROLAND PARK K-8 MAGNET,K-8,,2,,,,,2
"",,SHORE ELEMENTARY,Elem,,2,1,,,,3
"",,YORK PK-8 MAGNET SCHOOL,K-8,5,19,22,,6,12,64
"",Magnet Total,,,5,25,25,,9,12,76
"",Neighborhood,APOLLO BEACH ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Cypress Creek,Neighborhood,COLLINS PK-8 SCHOOL,K-8,,1,,,,,1
"",,CORR ELEMENTARY,Elem,,,,,,1,1
"",,CYPRESS CREEK ELEMENTARY,Elem,17,323,393,1,85,125,944
"",,DOBY ELEMENTARY,Elem,,4,,,1,,5
"",,FROST ELEMENTARY,Elem,,2,,,,,2
"",,IPPOLITO ELEMENTARY,Elem,,1,,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,REDDICK ELEMENTARY,Elem,,2,,,,2,4
"",,RIVERVIEW ELEMENTARY,Elem,,1,,,,,1
"",,RUSKIN ELEMENTARY,Elem,,6,8,,1,4,19
"",,SHEEHY ELEMENTARY,Elem,,1,,,,,1
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,1,1,,,,2
"",,SYMMES ELEMENTARY,Elem,,,,,,2,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",,THOMPSON ELEMENTARY,Elem,,3,7,,2,3,15
"",,WIMAUMA ELEMENTARY,Elem,,1,3,,1,2,7
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,1,,,1,2
"","Neighborhood
Total",,,17,348,414,1,92,141,"1,013"
"Cypress Creek Total
2862870111803661,904",,,,,,,,,,
Davis,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,2,,,,2
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,15,,,1,16
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,3,1,82,,1,4,91
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,7,,,,7
"",,LUTZ PREPARATORY SCHOOL,K-8,,,,,1,,1
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,2,,2,,,,4
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,7,,1,1,9
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,11,,1,3,15
"",Charter Total,,,5,1,126,,4,9,145
"",Choice,BAY CREST ELEMENTARY,Elem,,,3,,,3,6
"",,BELLAMY ELEMENTARY,Elem,,1,9,,1,2,13
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Davis,Choice,CANNELLA ELEMENTARY,Elem,,,1,,,1,2
"",,CITRUS PARK ELEMENTARY,Elem,,,7,,,,7
"",,CLAYWELL ELEMENTARY,Elem,,,1,,,,1
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,,1,,,,1
"",,DEER PARK ELEMENTARY,Elem,,,2,,,,2
"",,HAMMOND ELEMENTARY,Elem,,,2,,,2,4
"",,LOWRY ELEMENTARY,Elem,,,12,,,,12
"",,MCKITRICK ELEMENTARY,Elem,,,1,,,,1
"",,MENDENHALL ELEMENTARY,Elem,,,1,,,,1
"",,MORGAN WOODS ELEMENTARY,Elem,,,2,,,,2
"",,MORT ELEMENTARY,Elem,,,,,,1,1
"",,NORTHWEST ELEMENTARY,Elem,,,1,,,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,2,,,,2
"",,WESTCHASE ELEMENTARY,Elem,,,8,,,1,9
"",,WOODBRIDGE ELEMENTARY,Elem,1,,8,,1,,10
"",Choice Total,,,1,1,62,,4,10,78
"",ESE Placed,BELLAMY ELEMENTARY,Elem,,,1,,,,1
"","ESE Placed
Total",,,,,1,,,,1
"",Magnet,MACFARLANE PARK ELEM MAGNET,Elem,1,,,,,,1
"",,SHORE ELEMENTARY,Elem,,,3,,1,,4
"",Magnet Total,,,1,,3,,1,,5
"",Neighborhood,ALEXANDER ELEMENTARY,Elem,,,1,,,,1
"",,BAY CREST ELEMENTARY,Elem,,,1,,,,1
"",,BELLAMY ELEMENTARY,Elem,,1,7,,3,1,12
"",,CANNELLA ELEMENTARY,Elem,,,2,,,,2
"",,CITRUS PARK ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,9,25,367,,17,50,468
"",,DEER PARK ELEMENTARY,Elem,,,,,,1,1
"",,DICKENSON ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
Davis,Neighborhood,LOWRY ELEMENTARY,Elem,,,,3,,,,3
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,,,,1,,1
"",,MCDONALD ELEMENTARY,Elem,,,,1,,,,1
"",,SULLIVAN PARTNERSHIP ELEM,Elem,,1,,1,,,,2
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,,,1,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,,,1,,,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,,4,,,,4
"",,WOODBRIDGE ELEMENTARY,Elem,,,,3,,,,3
"",Neighborhood,,,,,,,,,,
"",Total,,,9,27,,395,,21,52,504
Davis Total,,,,16,29,,587,,30,71,733
Dawson,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,4,,,,1,1,6
"",,CREEKSIDE CHARTER ACADEMY,K-8,,1,,2,,,1,4
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,,,1,,,,1
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,1,,,,,,1
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,6,16,,21,2,2,11,58
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,,,1,,,3,4
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,,2,,,,2
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,,,,,1,1
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,,2,,,,2
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,3,14,,7,,1,7,32
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,,1,,1,,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,5,20,,30,,6,13,74
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,15,13,,11,3,1,38,81
"",,WATERSET CHARTER SCHOOL,K-8,,1,,1,,,1,3
"",,WINTHROP CHARTER SCHOOL,K-8,1,10,,5,,2,7,25
"",,WOODMONT CHARTER SCHOOL,K-8,,,,,,,1,1
"",Charter Total,,,30,80,,84,5,14,84,297
"",Choice,ALAFIA ELEMENTARY,Elem,,,,,,,1,1
"",,BALLAST POINT ELEMENTARY,Elem,,,,,,,1,1
"",,BEVIS ELEMENTARY,Elem,1,,,4,,,6,11
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,3,,4,,1,9,17
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Dawson,Choice,BROOKER ELEMENTARY,Elem,,,1,,,1,2
"",,BUCKHORN ELEMENTARY,Elem,,,,,,3,3
"",,CIMINO ELEMENTARY,Elem,,,,,,2,2
"",,COLLINS PK-8 SCHOOL,K-8,,1,1,,,4,6
"",,CYPRESS CREEK ELEMENTARY,Elem,,,,,,1,1
"",,DAWSON ELEMENTARY,Elem,,,1,,1,2,4
"",,DOBY ELEMENTARY,Elem,,1,,,,1,2
"",,FOSTER ELEMENTARY,Elem,,2,,,,,2
"",,GIBSONTON ELEMENTARY,Elem,,1,1,,,,2
"",,LANIER ELEMENTARY,Elem,,,,,,2,2
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,2,,,,2
"",,LOPEZ ELEMENTARY,Elem,,,1,,,1,2
"",,RIVERVIEW ELEMENTARY,Elem,,,4,,,4,8
"",,SEFFNER ELEMENTARY,Elem,,,,,,1,1
"",,SESSUMS ELEMENTARY,Elem,1,,3,,,1,5
"",,SHEEHY ELEMENTARY,Elem,,1,,,,,1
"",,STOWERS ELEMENTARY,Elem,4,,7,,2,9,22
"",,SUMMERFIELD CROSSINGS ELEM,Elem,,,,,,1,1
"",,SUMMERFIELD ELEMENTARY,Elem,1,,2,,1,4,8
"",,VALRICO ELEMENTARY,Elem,,,,,,1,1
"",,WIMAUMA ELEMENTARY,Elem,,1,,,,,1
